,null_frac
nation_jersey_number,0.9605488850771869
nation_position,0.9605488850771869
nation_logo_url,0.9605488850771869
nation_team_id,0.9605488850771869
club_loaned_from,0.9427205156193149
player_tags,0.9251000571755289
goalkeeping_speed,0.8891834294921773
player_traits,0.5115130724050106
physic,0.11081657050782265
passing,0.11081657050782265
dribbling,0.11081657050782265
defending,0.11081657050782265
shooting,0.11081657050782265
pace,0.11081657050782265
release_clause_eur,0.061125838141275535
club_joined,0.06045012734549613
value_eur,0.003846353760590467
wage_eur,0.003170642964811061
club_contract_valid_until,0.003170642964811061
club_logo_url,0.003170642964811061
club_jersey_number,0.003170642964811061
club_position,0.003170642964811061
league_level,0.003170642964811061
league_name,0.003170642964811061
club_name,0.003170642964811061
club_team_id,0.003170642964811061
short_name,0.0
player_url,0.0
sofifa_id,0.0
long_name,0.0
overall,0.0
player_positions,0.0
potential,0.0
age,0.0
height_cm,0.0
dob,0.0
weight_kg,0.0
work_rate,0.0
weak_foot,0.0
body_type,0.0
skill_moves,0.0
international_reputation,0.0
attacking_finishing,0.0
attacking_heading_accuracy,0.0
attacking_short_passing,0.0
attacking_volleys,0.0
skill_dribbling,0.0
preferred_foot,0.0
nationality_name,0.0
attacking_crossing,0.0
skill_long_passing,0.0
skill_fk_accuracy,0.0
skill_curve,0.0
skill_ball_control,0.0
movement_reactions,0.0
movement_acceleration,0.0
movement_sprint_speed,0.0
movement_agility,0.0
power_stamina,0.0
power_strength,0.0
power_long_shots,0.0
mentality_aggression,0.0
mentality_interceptions,0.0
movement_balance,0.0
power_shot_power,0.0
power_jumping,0.0
mentality_penalties,0.0
mentality_vision,0.0
mentality_positioning,0.0
mentality_composure,0.0
goalkeeping_diving,0.0
defending_marking_awareness,0.0
defending_standing_tackle,0.0
defending_sliding_tackle,0.0
goalkeeping_positioning,0.0
goalkeeping_kicking,0.0
goalkeeping_handling,0.0
goalkeeping_reflexes,0.0
player_face_url,0.0
nation_flag_url,0.0
primary_position,0.0
role_group,0.0
