f1,f2,|rho|
defending,defending_standing_tackle,0.977
dribbling,skill_dribbling,0.973
defending_standing_tackle,defending_sliding_tackle,0.972
defending,defending_marking_awareness,0.97
pace,movement_sprint_speed,0.969
shooting,attacking_finishing,0.966
defending,mentality_interceptions,0.965
defending,defending_sliding_tackle,0.961
pace,movement_acceleration,0.957
mentality_interceptions,defending_standing_tackle,0.947
defending_marking_awareness,defending_standing_tackle,0.94
mentality_interceptions,defending_marking_awareness,0.939
mentality_interceptions,defending_sliding_tackle,0.933
defending_marking_awareness,defending_sliding_tackle,0.931
dribbling,skill_ball_control,0.923
shooting,power_long_shots,0.92
skill_dribbling,skill_ball_control,0.906
movement_acceleration,movement_sprint_speed,0.9
