feat_set,model,fold,subset_acc,micro_f1,macro_f1,hamming_loss,jaccard_samples,acc_any,avg_set_cost,avg_set_cost_norm,avg_true_card,avg_pred_card,n_features,K_cap
B,ovr_lr,1.0,0.4309895833333333,0.7082216264521894,0.592323793734684,0.06802083333333334,0.6704036458333335,0.9541666666666667,1.7994791666666667,0.0945719077104526,1.67109375,1.82578125,41.0,3.0
B,ovr_lr,2.0,0.4276041666666667,0.6961367013372957,0.578654972715547,0.07100694444444444,0.6624913194444445,0.9520833333333333,1.9143229166666667,0.10085373513440464,1.6614583333333333,1.84375,41.0,3.0
B,ovr_lr,3.0,0.4300599114352696,0.7038874490929286,0.5878128445603582,0.06944516801250325,0.6686680559173396,0.9585829643136233,1.8559520708517843,0.09762608104620221,1.6642354779890596,1.8536077103412347,41.0,3.0
B,ovr_lr,4.0,0.4459494660067726,0.707297277355567,0.5914098739346356,0.06888946774333594,0.6750021707041763,0.9585829643136233,1.8429278457931753,0.09726179445057798,1.6626725709820265,1.8676738734045324,41.0,3.0
B,ovr_lr,5.0,0.4443865589997395,0.7000225039381892,0.5793418333696837,0.06944516801250325,0.6712338282538856,0.9439958322479812,1.885647303985413,0.0995255480072782,1.6436572023964575,1.8288616827298776,41.0,3.0
B,ovr_hgb,1.0,0.40390625,0.6700877584411721,0.5578800039769752,0.0770138888888889,0.6351866319444445,0.9171875,2.1166666666666667,0.11153412022703817,1.67109375,1.83046875,41.0,3.0
B,ovr_hgb,2.0,0.39791666666666664,0.6628631484122813,0.5521135408606106,0.07796875,0.6248394097222222,0.91015625,2.1572916666666666,0.11398302742149492,1.6614583333333333,1.8075520833333334,41.0,3.0
B,ovr_hgb,3.0,0.3980203177910914,0.670846394984326,0.5581260534019667,0.076582443344621,0.6315446730919511,0.916123990622558,2.1221672310497524,0.11226743751338569,1.6642354779890596,1.8257358687158114,41.0,3.0
B,ovr_hgb,4.0,0.408960666840323,0.6669662921348315,0.5549771160852058,0.07720760614743423,0.6319223756186506,0.9135191456108361,2.160718937223235,0.11424509206761907,1.6626725709820265,1.81479551966658,41.0,3.0
B,ovr_hgb,5.0,0.4100026048450117,0.6702449349863925,0.5487870176226861,0.07574889294087002,0.6351610662498914,0.9028392810627768,2.114352696014587,0.11208794399156956,1.6436572023964575,1.802031779109143,41.0,3.0
