club_name,avg_overall,n_players
Juventus,79.96153846153847,26
Paris Saint-Germain,79.45454545454545,33
Inter,78.85714285714286,28
FC Bayern München,78.07142857142857,28
Manchester United,78.0,33
Real Madrid CF,77.75757575757575,33
Napoli,77.5,26
Atalanta,77.48,25
Real Sociedad,77.28,25
SL Benfica,76.93103448275862,29
Manchester City,76.90625,32
FC Barcelona,76.78787878787878,33
Atlético de Madrid,76.71875,32
AC Milan,76.71428571428571,28
Chelsea,76.36363636363636,33
FC Porto,76.15384615384616,26
Liverpool,75.96969696969697,33
Sevilla FC,75.84848484848484,33
Borussia Dortmund,75.6774193548387,31
Sporting CP,75.48,25
Flamengo,75.4,20
Real Betis Balompié,75.12121212121212,33
AS Monaco,75.11111111111111,27
Leicester City,75.0,33
Bayer 04 Leverkusen,74.88888888888889,27
Villarreal CF,74.87878787878788,33
Lazio,74.78125,32
Clube Atlético Mineiro,74.2,20
Tottenham Hotspur,74.0909090909091,33
Palmeiras,74.0,20
